Name,CategoryName,Contact Number,City,Address,Website
Hospital Calony,Hospital,+966 59 218 1177,Pataw,"3W2J+QQ7، Unnamed Rd, Pataw, ",N/A
Taj Hospital,Hospital,N/A,Peshawar,"XH24+4RQ, Kohat Rd, Ahmed Khel, Peshawar, ",N/A
Al Shifa care and surgical Hospital SherGarh,Hospital,+92 310 1010642,Harichand,"9WX2+P8J, Sher Garh Rd, Harichand, ",N/A
Batakara Hospital,Hospital,N/A,Pontia,"2JJ5+HJ5, Pontia, ",N/A
KHAN GENERAL HOSPITAL,Hospital,N/A,N/A,"V99G+5GP, ",N/A
Cat D Hospital Manki sharif,Hospital,+92 342 8603253,Manki Sharif,"WXRC+5HQ, Road, Manki Sharif, ",N/A
Hospital for Women,Hospital,N/A,Attock,"Q9R5+3V6, Darul Islam Colony Attock, ",N/A
Daud Hospital,Hospital,N/A,Shabqadar,"6H3C+3JF, Shabqadar, ",N/A
The Capt Ali Children Hospital,Hospital,+92 946 721573,Saidu Sharif,"P9W3+MQC, Saidu Sharif Rd, Shahi Bagh Saidu Sharif, ",N/A
Hassan Hospital,,+92 57 2520566,Hassan Abdal,"RMFP+JVF, Hazara Rd, Khawaja Nagar Mohalla Panjabian, Hassan Abdal, 43730, ",N/A
Hospital Daag,Playground,N/A,Nowshera,"Hospital Daag, DHQ Hospital Rd, Mohalla Meetha Khel, Nowshera, ",N/A
Excel Labs - Lady Ready Hospital - Peshawar,Hospital,+92 91 2592587,Peshawar,"Shop No-5, Peshawar Medical Center, Hakeem Ullah Jan Rd, opposite LRH Emergency Gate, Pipal Mandi Peshawar, ",www.excel-labs.com/
Kulsum International Hospital Islamabad Laboratory Collection Center KTH Hospital,Laboratory,N/A,Peshawar,"MATEEN MEDICAL CENTRE, opposite KTH HOSPITAL EMERGENCY GATE, University Town, Peshawar, 25000, ",N/A
Habiba Homeopathic Teaching Hospital & Research Center,Hospital,+92 306 9851110,Peshawar,"Sikandar Pur Road, opposite Arbab Plaza, near Islamia Collegiate School, Sikandarpūra Hashtnagri, Peshawar, ",N/A
Mother & Children Hospital,Children's hospital,+92 312 9887446,Mardan,"52VP+6M6, Shamsi Rd, Mardan, 23200, ",N/A
The Kashmir Valley Animal Hospital Wah cantt,Animal hospital,+92 300 5133656,Wah Cantt,"New, CB 512 Farooq-E-Azam St, Gudwal Rd, 27 Area Wah Cantt, ",N/A
"Dr. Naveed Anwar. Professor. Gastroentrologist, Peshawar General Hospital, PGH",Medical clinic,+92 335 4430305,Peshawar,"Peshawar General Hospital, PGH 6-A, Sector A2 Phase 5 Hayatabad, Peshawar, 25000, ",N/A
Category C Hospital Wari,Hospital,+92 944 840022,Wari,"X2WP+56R Tehsil, Wari, ",N/A
Hospital Masjid,Mosque,N/A,N/A,"Sowari - Mingora Rd, ",N/A
THQ hospital nawaz shareef,Hospital,N/A,Chakdara,"THQ Hospital Chakdara, Hospital Road, Chakdara, ",N/A
MS Office DHQ. Hospital Daggar,General hospital,N/A,Karapa Kalay,"FFX6+4FX, Karapa Kalay, ",N/A
Veterinary Hospital Alladand Dheri,Hospital,+92 345 9525915,Allahdand Dheri,"Veterinary Hospital, Allahdand Dheri, ",N/A
Mualij Homeopathic Hospital Hassanabdal,Private hospital,+92 313 9040502,Taxila,"RM5X+43X, Taxila, 47080, ",https://ln.run/3ipKE
Al Khidmat Hospital,Hospital,N/A,Garhi Kapura,"55W7+75V, Garai, Garhi Kapura, 23200, ",N/A
Life care hospital Kara bazar,Hospital,N/A,Kabal,"V985+F8Q Life care hospital, near bhu bars Samai Kara, Kabal, ",N/A
NHRC Hospital,Health consultant,+92 349 9212001,Peshawar,"2HFH+8HR, Eid-gah Rd, Zaryab Colony Peshawar, ",noorinstituteofnursing.pk/
North West General Hospital Laboratory,Medical laboratory,+92 336 9424109,Peshawar,"XFV2+MVF, Phase-4 Phase 4 Hayatabad, Peshawar, ",N/A
Hospital,Health consultant,+92 317 2025721,Shah Dher,"Mattni Hospital, Shah Dher, ",N/A
THQ Hospital Medical Ward,Hospital department,N/A,Chakdara,"M25M+89M, Hospital Road, Chakdara, ",N/A
Animal hospital,Hospital,N/A,Brug,"6Q8J+4MH, Brug, ",N/A
HOSPITAL KOROONO MASJID,Mosque,N/A,Dak Ismail Khel,"VR45+M2Q, Cherat Rd, Hospital Koroona Dak Ismail Khel, ",N/A
Dental Hospital Lawn,Playground,N/A,Peshawar,"XFXM+QJM, near IRNUM Hospital, University of Peshawar, University Rd, Rahat Abad, Peshawar, ",N/A
Nasrat Mina Maternity Hospital,Maternity hospital,N/A,Shamshato,"VPJ6+V25, Shamshato, ",N/A
Animal Hospital Guratie swat,Animal hospital,N/A,N/A,"N-95, ",N/A
Aziz Medical Store City Hospital Timergara,Community center,N/A,Timergara,"City Hospital, Timergara, ",N/A
Ahmad Pets and vets care Hospital Shewa Adda Swabi,Pet store,+92 311 9600883,Swabi,"Adda, Malik Inayat market main mardan-swabi road near Tehsil Razzar Shewa",N/A
Insaf General Hospital,Hospital department,N/A,Peshawar,"3H7R+RCX Wahid ghari road touda stop, Charsadda Rd, Khankola, Peshawar, ",N/A
Dr. Waqar's Pets Hospital,Veterinarian,+92 311 9034570,Peshawar,"University, 15-D Circular Rd, Town, Peshawar, ",N/A
Civil Viterinary Hospital Jamrud,Animal hospital,+92 91 5820070,Jamrud,"292P+Q28, Jamrud, ",N/A
Sha mansoor hospital sawbi,Hospital department,N/A,Shah Mansoor,"3CCW+7J6, Shah Mansoor, ",N/A
Doctor Hospital,Health consultant,+92 319 6968238,Shergarh,"opposite imam bargah alashiq, Shergarh, 56140, ",N/A
Smile Dental hospital,Dental clinic,+92 333 9477902,Mingora,"Ihsan plaza, old Post Office Rd, Swat Mingora, 19130, ",N/A
Banazir Bhutto children hospital MTI Mardan,Hospital department,N/A,Mardan,"524J+4QM, Sheikh Maltoon Town, Mardan, 23200, ",N/A
Dr Anwar Ul Haq Dental Hospital,Hospital,+92 308 4417775,Batkhela,"JX55+X38, Akbar Abad Akbarabad, Batkhela, ",N/A
BISP Nashonuma Program DHQ Hospital Khar,Health food store,+92 306 5727366,Khar,"DHQ Hospital, Khar, 18650, ",N/A
Animal hospital,Animal hospital,N/A,Bagh,"RPC7+9P, Bagh, ",N/A
Pak surgical Hospital,Doctor,N/A,Peshawar,"2H46+RJX, Shuba Bazaar Shoba, Peshawar, ",N/A
Front of THQ hospital gunjai,Pharmacy,N/A,Gunjai,"7WQM+2MG Front of THQ hospital, Gunjai, ",N/A
KP INTERNATIONAL HOSPITAL,Hospital,N/A,Peshawar,"XCVQ+8FG, Phase 5 Hayatabad, Peshawar, ",N/A
Shall Clinic & Medical Store,Hospital,+92 333 3669565,Quetta,"4X4G+FV6, Sariab Mills Colony Kechi Baig, Quetta, ",N/A
Jenabai Hussainali Shariff Building,Hospital department,+92 21 34930051,Karachi,"V3RG+G5J The Aga Khan University Hospital (AKUH), National Stadium Rd, Aga Khan University Hospital, Karachi, ",aku.edu/
Ayaan children hospital and maternity home,Hospital,+92 309 2342971,Karachi,"Plot #10 , Near Ayoub goth Old Police Chuki, Sukhia Goth Gulzar E Hijri Scheme 33, Karachi, 75850, ",N/A
Turkey Hospital Muzaffargarh Punjab,Hospital,+92 66 8200021,Muzaffargarh,"34CJ+72W, Muzaffargarh, ",N/A
"Indus Hospital - Recep Tayyip Erdogan Campus, Muzaffargarh",Hospital,+92 66 8200021,Muzaffargarh,"D G Khan Road, Muzaffargarh, 32400, ",indushospital.org.pk/about/ihn/
"DHQ Hospital, Muzaffargarh",Hospital,+92 66 9200227,Muzaffargarh,"Muzaffargarh, 34200, ",dhqmuzaffargarh.punjab.gov.pk/about_us
"Medicare Children & General Hospital (GCGH), Allah Abad",General hospital,+92 345 8726256,Allah Abad,"Usman Colony Janpur, road, Allah Abad, ",N/A
Emergency Indus Hospital muzaffargarh,Emergency care service,+92 300 0221861,Muzaffargarh,"Indus Hospital, near N-70, Muzaffargarh, ",N/A
Al Mustafa Health Care,General hospital,+92 302 2134204,N/A,"Adda Board Mubarak Pur Road, 1 Ahmad Pur East, 63350, ",N/A
RHC,Hospital,N/A,Rohillanwali,"Rural Health Center Rohilanwali, Alipur - Muzaffargarh Rd, near by RHC, Rohillanwali, ",N/A
Punjab Social Security Hospital Muzaffargarh,Hospital,+92 66 2428294,Muzaffargarh,"35HJ+C7H, street no 2, near Social Security Hospital, Bakhsh Nabi Colony, Muzaffargarh, ",N/A
Basic Health Unit Mian Pheroo,General hospital,N/A,Darkhast Jamal Khan,"MFV8+WJC, Talpur - Dajal Rd, Darkhast Jamal Khan, ",N/A
Al Fida General Hospital,General hospital,N/A,Rohillanwali,"Q3G9+CG6, Alipur Rd, Rohillanwali, ",N/A
MNHC Gulshan Dara,Hospital,N/A,Rahim Yar Khan,"G97H+FF4, Rahim Yar Khan, ",N/A
Be Well Health Clinic & Laboratory,General hospital,+92 309 8985988,Ahmedpur East,"47X6+JCF Lala muusa, Muhammad Akhtar Khan St, Ahmedpur East, ",N/A
Dr M.Masood Tahir[FCPS(MEDICINE)&FCPSٹ}Ass. Professor Nishtar Hospital Multan,Specialized clinic,+92 308 4499240,Multan,"Clinic 22 & 23, Khan Medical City, Nishtar Rd, Al Rahim Colony, Multan, 61000, ",N/A
Naseem Clinic And Maternity Home,Medical Center,N/A,Multan,"5CPM+P7W, Selection Center Rd, Multan Cantt Residential Area, Multan, ",N/A
Wali Hospital And Diagnostic Centre,Hospital,+92 331 6435077,Tulamba,"Abdul Hakim Rd, near Civil Hospital, Tulamba, ",N/A
Al Yousif Pvt hospital,Hospital,N/A,Athara Hazari,"537W+HR5, Athara Hazari, 35180, ",N/A
Buzdar Hospital & Medical Center,Hospital,N/A,Taunsa,"PM75+4C7, New College Rd, Taunsa Housing Colony, Taunsa, ",N/A
Zainab Hospital,Private hospital,N/A,Dera Ghazi Khan,"7PGH+J53, Dera Ghazi Khan, ",N/A
Jawad Hospital D.i.khan,Hospital,+92 966 732111,Dera Ismail Khan,"RWF5+XH6 Medical, Kirri Alizai Rd, Dera Ismail Khan, 29111, ",N/A
Civil Dispensery (Civil Hospital) Sillanwali,Hospital,+92 301 6731213,Sillanwali,"RH57+MF4, Railway Rd, Sillanwali, ",N/A
Govt. Hospital,Hospital,N/A,Chak 18/8 R,"F5CM+JVP, Chak 18/8 R, ",N/A
Umer Hospital and Laboratory,Hospital,+92 66 2250001,Sanawan,"8X9F+VF5, Sanawan, ",N/A
Fatima Hospital,Hospital,+92 340 6767246,Sarai Sidhu,"HXP3+JFH, Sarai Sidhu, ",N/A
Tabark Hospital Khanewal,Hospital,+92 345 7371118,Khanewal,"21 Street Number 1, Khanewal, 58150, ",N/A
Hafiz General Hospital,Hospital,+92 46 3511887,Gojra,"Gojra, ",N/A
Al Barkat Hospital,Hospital,+92 46 3366160,Pir Mahal,"Abad, Al Barkat Hospital, Street No 3, Ghosia Abad Ghosia, Pir Mahal, 36300, ",N/A
civil hospital,Government hospital,N/A,Khatwan,"Q35C+RQR, Khatwan, ",N/A
Hospital,Hospital,N/A,Mian Wala,"Ladhana Rd, Mian Wala, ",N/A
Ycdo Hospital,Hospital,N/A,Abdul Hakīm,"H442+QX3, Multan Rd, Abdul Hakīm, ",N/A
Amjad hospital,General hospital,N/A,Qadirpur Ran,"near Zaheer Hospital, Qadirpur Ran, ",N/A
Mauzma Medicare Hospital,Hospital,+92 300 8556833,Multan,"Main Bosan Rd, Adda Bosan Multan, 59071, ",N/A
Sughran memorial hospital,Hospital,+92 300 2277108,Garh Moor,"RRWR+5WV, Chak 108 Garh Moor, ",N/A
Khadija memorial general hospital,Hospital,+92 47 7682020,Kheiwa,"Jhang-Chiniot Rd, Kheiwa, ",N/A
Attaullah memorial hospital,Hospital,N/A,107 NB,"XH67+J26 Jhal, Sillanwali - Sargodha Rd, 107 NB, ",N/A
Hospital,Hospital,N/A,Jhang,"District Jail, Jhang Sadar Jhang, ",N/A
Luqman International Hospital,Hospital,+92 946 729934,Saidu Sharif,"Q965+RFQ, Saidu Sharif Rd, Swat Saidu Sharif, 19200, ",lih.com.pk/
"Saidu Teaching Hospital,Swat.",Hospital,+92 946 9240138,Saidu Sharif,"Saidu Group of Teaching Hospital, Swat Saidu Sharif, ",sth.org.pk/
Swat Medical Complex,General hospital,+92 946 710281,Saidu Sharif,"Q934+36H, Faizabad Rd, Swat Saidu Sharif, ",swatmedicalcomplex.com/
Saidu Central Hospital,Hospital,N/A,Saidu Sharif,"Q955+CH5, Saidu Sharif Rd, Swat Saidu Sharif, ",www.sth.org.pk/
Shifa Hospital Swat,Private hospital,+92 946 711039,Saidu Sharif,"Q955+Q5F, Saidu Sharif Rd, Swat Saidu Sharif, 19200, ",shifahospitalswat.com.pk/ded_msg.php
Kings International Hospital,Hospital,+92 946 726611,Saidu Sharif,"Faizabad Rd, Swat Saidu Sharif, ",N/A
Miangul Abdul Haq Jahanzeb Kidney Hospital Swat,Hospital,+92 946 730890,Manglor,"RC3G+HFC, Swat Manglor, 19201, ",www.mjkhkp.gov.pk/
Tokyo Medical Complex,Hospital,+92 344 9606367,Kabal,"Road, near Civil Hospital, Swat Shah Dharai, Kabal, 19060, ",N/A
Khyber Hospital Saidu Sharif Swat,Hospital,+92 344 9769773,Saidu Sharif,"Q955+Q9G, Saidu Sharif Rd, Swat Saidu Sharif, 19130, ",N/A
Sheikh Khalifa Bin Zayed Al-Nahyan Model Hospital,Hospital,N/A,Saidu Sharif,"Q955+383, Swat Saidu Sharif, ",N/A
Rahman International Hospital,Hospital,+92 946 745838,Khwazakhela,"WFR7+9HJ, Matta road, Swat Khwazakhela, ",N/A
Barikot Hospital,Hospital,N/A,Barikot,"N-95, Barikot, ",N/A
Dr Abdul Basir Khan Khan khwazakhela Medical Centre,General hospital,+92 345 6060799,Khwazakhela,"WFR7+G7C Medical Centre, Dr Abdul basirKhan, Gammon road, Swat Khwazakhela, ",visitkmc.org/
Gulrang International Hospital,Hospital,+92 349 9111122,Allahdand Dheri,"JXGV+4RF, N-45, Allahdand Dheri, ",gulranghospital.org/
Bahawal Victoria Hospital (BVH),Government hospital,+92 346 0718347,Bahawalpur,"Circular Rd, Bahawalpur Cantt, Bahawalpur, 63100, ",N/A
"City Hospital, Bahawalpur",Hospital,+92 333 8082787,Bahawalpur,"University Chowk Rd, near General Post office, Bahawalpur Cantt, Bahawalpur, 63100, ",N/A
City Hospital,General hospital,+92 61 6510367,Multan,"6F69+PV9, La Salle Rd, Peer Khurshid Colony Chah Usman Wala, Multan, ",cityhospital.com.pk/
(Sir Sadiq Abbasi)Civil Hospital Bahawalpur,Hospital,+92 62 2720235,Bahawalpur,"Jail Rd, Gulshan E Iqbal, Bahawalpur, ",N/A
"MID-WEST HOSPITAL - Trust Colony, Bahawalpur",Hospital,+92 62 2303110,Bahawalpur,"Trust colony, Street No.3, corner, Bahawalpur, 63100, ",N/A
Family Hospital Multan,Hospital,+92 61 4551157,Multan,"6G67+9MC, Mohalla Qaisarabad, Multan, 60000, ",www.facebook.com/Familyhospitalandmaternity/
Nishtar Hospital,Hospital,N/A,Multan,"First Floor Ward No. 7 second floor ward No14 third floor ward No.15, Gillani Colony, Multan, ",nishtar1.com/
THQ Hospital,Government hospital,+92 67 3412050,Mailsi,"R53H+52R, Railway Rd, Mailsi, ",N/A
District Head Quarter Hospital,Government hospital,+92 306 7827109,Lodhrān,"FJWQ+C93, DGQ Rd, Lodhrān, ",N/A
Masooma Hospital,Hospital,+92 333 6914148,Multan,"Masooma Hospital, Sher Shah Rd, Garden Town, Multan, 60000, ",N/A
Al Khaliq Hospital,Hospital,+92 331 7037135,Multan,"Nishtar Rd, Al Rahim Colony, Multan, 66000, ",alkhaliqhospitalmux.com/
Aliza Hospital BahawalPur,Hospital,+92 62 2200601,Bahawalpur,"1-2, D, Z block, Commercial area, 63100, ",N/A
"Shehbaz Sharif DHQ Hospital, Multan city",Hospital,+92 322 4273717,Multan,"5FW8+84J, Inner City, Multan, ",N/A
THQ Hospital Kahror Pakka,Hospital,N/A,Kahror Pakka,"JW97+3JV THQ Hospital, Kahror Pakka, ",thqkahrorpakka.punjab.gov.pk/
"BINO Cancer Hospital - Muhammadia Colony, Bahawalpur",Hospital,N/A,Bahawalpur,"9MJF+4V3, Noor Mahal Rd, Muhammadia Colony, Bahawalpur, 63100, ",www.binoaech.gov.pk/
Mariam Medicare Hospital,Hospital,+92 331 6133332,Vehari,"39- N Block, Sharqi Colony (East Colony), Vehari, ",N/A
Fazal Hospital,Hospital,+92 305 5000138,Jahanian,"ThataRoad pull14 14, Jahanian, 58200, ",www.fazalhospital.com/
Zubaida Fatima Memorial Hospital,Hospital,+92 300 6345255,Multan,"5FCQ+RCM, Gulzaib Colony, Multan, 60600, ",N/A
Doctors care hospital,Hospital,+92 61 6777959,Multan,"Khanewal Rd, Shah Rukn E Alam Town, Multan, 60650, ",N/A
MNCH SOCIAL SECURITY HOSPITAL,Hospital,N/A,Dera Ghazi Khan,"3M83+5QJ, Dera Ghazi Khan, ",N/A
Abbasi Hospital,Hospital,N/A,Fateh Pur Kamal,"VJCC+JW2, Fateh Pur Kamal, ",N/A
Iqbalabad Hospital,Hospital,+92 302 8719460,Rahim Yar Khan,"Interchange Road Near Apni pharmacy Iqbalabad chowk Iqbalabad, Chowk, Rahim Yar Khan, ",N/A
"National Orthopedic & General Hospital - Kausar Colony, Bahawalpur",Hospital,+92 62 2884580,Bahawalpur,"Heavy Industrial Area Road, Kausar Colony, Bahawalpur, 63100, ",N/A
"Zaheer Hospital Qadirpur Ran,Multan",Hospital,N/A,Qadirpur Ran,"7MV8+2PP, Khanewal Road, Qadirpur Ran, ",N/A
Govt Hospital Miani Jhabail,Hospital,+92 301 7764669,Basti Mian,"FQQ7+JWG, Basti Mian, ",N/A
Paracha Hospital,Hospital,+92 300 8733317,Multan,"6F38+5PM, Tughlaq Rd, Basti Prarian, Multan, ",N/A
Pak Italian Modern Burn center,Hospital,+92 61 9330153,Multan,"6C2V+VGW, Nishtar Rd, Justice Hamid Colony, Multan, ",N/A
Al Rehman Hospital,Hospital,+92 67 3361266,Vehari,"DHQ، near Dar - e - arqam school, G Block Vehari, ",N/A
City Hospital Dg Khan,Hospital,+92 330 6506644,Dera Ghazi Khan,"3J6V+VWG, Fareed Abad BLOCK 18, Dera Ghazi Khan, ",N/A
Aga Khan University Hospital ,Hospital,+92 61 6211193,Multan,"6FGH+224, Gulgasht Colony, Multan, ",N/A
City Hospital Jahanian,Hospital,N/A,Jahanian,"2RV8+JPH, Jahanian, ",N/A
Civil Hospital,Hospital,N/A,Jalalpur Pirwala,"G69F+66G, Jalalpur Pirwala, ",N/A
Hospital,Hospital,N/A,Multan,"6G8R+GHV, Pak Arab Fertilizer Housing Colony, Multan, ",N/A
Naz Hospital,Hospital,+92 62 2284800,Bahawalpur,"S.E. College Road، near GPO, Bahawalpur Cantt, Bahawalpur, 63100, ",N/A
Ameer Patient Care Hospital,Hospital,+92 320 6784384,Multan,"5C52+8F6, Sher Shah Road, near Nadirabad Phattak, Garden Town, Multan, ",N/A
Jinnah Community Hospital,Hospital,+92 64 2471767,Dera Ghazi Khan,"2JVW+8GJ Shakir Town, Khayaban-e-Sarwar Khayaban e Sarwar, Dera Ghazi Khan, ",N/A
Life Medical Care Hospital,Hospital,+92 319 9000707,"Topi, Tehsil","3J47+9XW, Bypass Road, Topi, Tehsil, ",www.lmch.com.pk/
DHQ Hospital,Hospital,+92 997 920094,Mansehra,"86G2+9FC, Abbottabad Rd, Faisal Colony, Mansehra, ",N/A
Asad medical and surgical hospital near mahra bypass,Hospital,+92 300 2858249,Mahra Shaher,"Near mahra bypass rohellian wali, Mahra Shaher, 34200, ",N/A
Al-Shifa Hospital,Hospital,N/A,Bahawalpur,"Main University Rd, Basti Hamaitian Mohajir Colony, Bahawalpur, 63100, ",N/A
Umar Hospital & Cardiac center Multan,Hospital,+92 61 4506047,Multan,"Suraj Miani Road, opposite meezan bank Pul wasil, Green Town, Multan, ",N/A
Al Mustafa Trust Hospital 1/t janubi ,Hospital,+92 333 6169366,Makhdum Rashid,"chak 1t, Makhdum Rashid, 59100, ",almustafa.pk/contact-us/
Al-Falah Genral & Eye Hospital,Hospital,+92 333 3300443,Bahawalpur,"Maqbool Colony Gulberg Colony, Bahawalpur, 63100, ",N/A
VICTORIA MEMORIAL HOSPITAL,Hospital,N/A,Multan,"49XW+2GP, Unnamed Road, Industrial Estate, Multan, ",N/A
Hospital,Hospital,N/A,Khanpur,"HM88+75H, Khanpur, ",N/A
Government Hospital,Government hospital,N/A,N/A,"WW62+R9, Shah Jamal, ",N/A
Taaha Surgical and General Hospital Yazman,Hospital,+92 300 9875203,Yazman,"Rashid Javed Rd, Yazman, ",N/A
Radiant Hospital,Hospital,N/A,Bahawalpur,"9MMC+7H8 Radiant Hospital, Noor Mahal Rd, near Imtiaz Mega Mall, Muhammadia Colony, Bahawalpur, ",N/A
Ahmad hospital,Private hospital,N/A,Multan,"6G68+C6G, Unnamed Road, Mohalla Qaisarabad, Multan, ",N/A
Sughra memorial hospital kehror pacca,Hospital,N/A,Kahror Pakka,"Duniya pur road melsi chowk, near Phatak, Kahror Pakka, 59340, ",N/A
Adan Hospital,Hospital,+92 345 7010868,Multan,"17 Vehari Road, Multan, 59100, ",N/A
Dr Noreen Hospital,Hospital,+92 300 6990342,Burewala,"I Block Burewala, ",N/A
Zubaida Hospital,Medical Center,N/A,Liāqatpur,"WWQV+68W, Allah Abad Rd, Pipal Wala, Liāqatpur, ",N/A
Veterinary Hospital,Hospital,N/A,Chunawala,"FMW4+54C, Chunawala, ",N/A
Misali Hospital,Private hospital,+92 300 6300685,Multan,"6CFH+3J8, VIP Colony, Suraj Miani Road, Suraj Miani, Multan, ",N/A
Urooj Fatima Hospital,Hospital,+92 604 688730,Rajanpur District,"Sidra Gardens New Civil Lines, Rajanpur District, 33500, ",N/A
Al Noor Hospital,Hospital,N/A,Vehari,"3927+XQ9, Vehari, ",N/A
Ghazi National Hospital D.G Khan,Hospital,+92 64 2406933,Dera Ghazi Khan,"2MV4+FPQ, Samina Chowk, Multan Rd, near HBL Bank, Dera Ghazi Khan, 32102, ",N/A
DHQ Hospital Dera Ghazi Khan,Hospital,N/A,Dera Ghazi Khan,"Jampur Rd, Fareed Abad Dera Ghazi Khan, ",N/A
Bakhtawar memorial hospital,General hospital,+92 301 7644176,Sardargarh,"Sardarghar road, Sardargarh, 64200, ",bakthwarmemorialhospital.website3.me/
Huma Memorial Hospital,Medical Center,N/A,Khanpur,"Khanpur, ",N/A
District Headquarters Hospital Gandawah,Medical Center,N/A,Gandawah,"Gandawah, ",N/A
Hafiz Medical and Hospital,Hospital,+92 835 421743,Sui,"J5HG+GJR, Airport Road, Sui, ",N/A
Civil Hospital Nawan Kot,Hospital,+92 306 6550238,Nawan Kot,"RM2C+3MQ, Nawan Kot, ",N/A
Hospital,Hospital,+92 333 7730544,Kohlu,"W9M9+Q2X, Kohlu, ",N/A
Nigahat Batool Memorial Hospital,Hospital,+92 334 6101900,Khairpur Sadat,"near Union Council Opposit WaterWorks, Khairpur Sadat, 34470, ",N/A
Nusrat Healthcare Hospital,Hospital,+92 336 7808990,N/A,"382J+323, Indus Hwy, ",N/A
YCDO Ghazi National Hospital,Hospital,+92 324 2827777,Dera Ghazi Khan,"2MV4+HJ4, Multan Rd, Dera Ghazi Khan, ",N/A
Civil Hospital Jiani,Hospital,+92 344 3916929,Sohbatpur,"GCP4+WR7, Goth Jia Khan Jiani UC Roopa Tehsil, Sohbatpur, ",N/A
Civil Hospital Sakai Sarwar,Hospital,N/A,Sakhi Sarwar,"X8H4+W69, Unnamed Road, Sakhi Sarwar, ",health.punjab.gov.pk/
Ruhan Medical and Surgical Complex,Hospital,+92 325 5576000,Khanpur,"714 Main Road Model Town B, B Block Khanpur, ",www.ruhanmedicalcomplex.com/
Ibne Seena Hospital Khalabat,Hospital,+92 995 622022,Khalabat Twp,"2W96+4GC, Sector 02 Sector 2 Khalabatt Twp, Khalabat Twp, ",N/A
Civil Hospital,Hospital,N/A,Phulra,"Phulra, ",N/A
Muzaffarabad General Hospital,Hospital,+92 300 5151961,Muzaffarabad,"National Bank of  -- Upper Adda, Upper Adda Chowk, near Pir Chanasi Bus Stand, Muzaffarabad, 13100",N/A
DHQ Batkhela,Hospital,+92 932 410242,Batkhela,"JX76+49W, Batkhela, ",N/A
SPECIALIST CARE HOSPITAL,Hospital,+92 58244 45586,Rawalakot,Rawalakot,N/A
Gilani Hospital Complex,Orthopedic clinic,+92 992 406802,Abbottabad,"66RJ+M23، Abbottabad-Mansehra Rd, Bagar, Mirpur, Abbottabad, ",docto.yolasite.com/
Wahid Health Care Hospital,General hospital,+92 300 9171940,Barkhalozo,"VFVG+M5, Barkhalozo, ",N/A
Arq Un Nisa Hospital Topi,Private hospital,+92 300 9055300,Topi,"Batakara Rd, near Telephone Exchange, Topi, 23460, ",N/A
SALMAN HOSPITAL,Hospital,+92 300 1577177,Vehari,"28QW+986, Peoples Colony Rd, Cotton Colony Madina Colony, Vehari, ",N/A
Sabir hospital,Hospital,+92 301 7761980,Mubarakpur,"near HYSSAINI CHOWK, Mubarakpur, 63100, ",N/A
YCDO Executive Hospital Mother & Child care,Hospital,N/A,Multan,"La Salle Rd, Peer Khurshid Colony Chah Usman Wala, Multan, ",N/A
Sardar Fateh Muhammad Khan Buzdar Institute Of Cardiology,Hospital,+92 370 4371935,Dera Ghazi Khan,"near Pull Piyare wali, Dera Ghazi Khan, ",sfmkbic.org/
Rasheed Hospital And Dental Complex,Hospital,+92 328 6560560,Multan,"Bag E Hussain Chowk, near Gillani Restaurant, Sameeja Abad, Multan, 60000, ",N/A
Rohi Healthcare Hospital Cholistan,Hospital,N/A,Chak 337 HR,"46MH+5R, Chak 337 HR, ",N/A
Khan Hospital And Maternity Home,Medical Center,+92 66 2440187,Basira Qandrani,"33M4+579, Basira Qandrani, ",N/A
Al Rehman Hospital,Hospital,+92 321 7119199,Dunyapur,"Al Rehman Hospital, Khanewal - Lodhran Rd, near ztbl Bank, Ward Number 19 Dunyapur, 64101, ",N/A
RAHMA Hospital,Hospital,+92 68 5791222,Janpur,"RAHMA Hospital Near Alkhair Cotton Factory Janpur Tehsil, ",N/A
SADIQ HOSPITAL Shaher Sultan,Hospital,+92 300 3731166,مرادپور پل,J239+5C، ,N/A
Luqman Hospital & Institute if Health Sciences,Hospital,+92 306 7481004,Lodhrān,"Bahawalpur Rd, Lodhrān, ",www.pmhealthprogram.gov.pk/
"Dr Durna Irfan Hospital - Model Town, Mailsi",Private hospital,+92 305 7718184,Mailsi,"R52P+8J6, Model Town Mailsi, ",N/A
Kidney Hospital,Hospital,+92 61 8048600,Multan,"6C5P+57F, Ahsan Colony, Multan, ",N/A
Shah Rukne Alam Hospital Multan,Hospital,N/A,Multan,"5CHX+RHF, Vehari Rd, Walayatabad No II Chah Amb Wala, Multan, ",N/A
Waheeda Khanum Cancer and General hospital,Hospital,+92 61 4782228,Multan,"9C Eidgah Road, Shamsabad Colony, Multan, 60000, ",N/A
Bukhari Awami Hospital,Hospital,+92 306 7438179,Shujaabād,"V7FV+GPV, Jalalpur Rd, Shujaabād, ",N/A
Govt hospital garah more,Government hospital,N/A,Garha More,"23W6+4VX, Multan - Vehari Rd, Garha More, ",N/A
OPD 14 SIUT,Hospital,+92 21 99215752,Karachi,"V255+FXV, New Labour Colony Nanakwara, Karachi, ",www.siut.org/
Jinnah Medicare Diagnostic Complex & Maternity Home,Private hospital,+92 336 5600026,Kot Chutta,"Jhok Utra Rd, Kot Chutta, 32350, ",N/A
Trauma Center,Hospital,N/A,Dera Ghazi Khan,"3J2Q+8HJ, Dera Ghazi Khan, ",N/A
